Date,Year,Country,Area,Location,Activity,Fatal (Y/N),Species ,Sex,Age
2016-07-18,2016,Australia,South Australia,Coastal Site 3,Unknown,N,Galeocerdo cuvier,Unknown,23
2021-05-03,2021,Australia,Western Australia,Coastal Site 14,Bathing,Y,Blue shark,M,43
2000-11-19,2000,Australia,Western Australia,Coastal Site 10,Wading,N,Carcharodon carcharias,M,33
1993-06-16,1993,South Africa,Western Cape,Coastal Site 17,Bathing,N,3 m tiger shark,M,17
2019-12-23,2019,United States,South Carolina,Coastal Site 6,Surfing near shore,N,,F,22
2023-09-02,2023,Australia,New South Wales,Coastal Site 4,Surfing near shore,N,Great white shark,M,26
2012-08-10,2012,South Africa,Western Cape,Coastal Site 13,Shore fishing,Y,Bull shark,M,24
2003-04-24,2003,United States,South Carolina,Coastal Site 14,Swimming,N,2 m bull shark,M,44
2006-08-10,2006,South Africa,Western Cape,Coastal Site 6,Surfing,N,2 m bull shark,M,31
2008-05-06,2008,United States,South Carolina,Coastal Site 9,Unknown water activity,N,Carcharhinus limbatus,M,31
2001-11-18,2001,South Africa,Western Cape,Coastal Site 6,Swimming,N,Small shark,M,
1994-06-17,1994,United States,South Carolina,Coastal Site 3,Swimming,N,Lemon shark,Unknown,33
2019-06-01,2019,United States,California,Coastal Site 5,Surfing near shore,N,Blacktip shark,M,18
1998-09-21,1998,Bahamas,Exuma,Coastal Site 15,Surfing near shore,N,Lemon shark,M,31
2013-08-02,2013,United States,South Carolina,Coastal Site 16,Kayaking,N,Carcharhinus leucas,F,
1997-11-09,1997,Brazil,Pernambuco,Coastal Site 7,Wading,N,2 m bull shark,M,42
1998-02-09,1998,Australia,New South Wales,Coastal Site 17,Bodyboarding,N,Whitetip reef shark,M,29
2023-07-04,2023,Egypt,Red Sea,Coastal Site 7,Bodyboarding,N,Tiger shark,M,33
2015-01-27,2015,United States,California,Coastal Site 9,Small boat,N,4 m white shark,M,46
2011-04-30,2011,Australia,Western Australia,Coastal Site 3,Spearfishing,Y,,M,15
2024-01-19,2024,Mexico,Quintana Roo,Coastal Site 1,Surfing near shore,N,Nurse shark,M,50
2008-11-06,2008,United States,Florida,Coastal Site 2,Surfing near shore,N,Whitetip reef shark,M,59
2019-05-09,2019,United States,South Carolina,Coastal Site 7,Snorkeling,N,2 m bull shark,F,24
2017-07-05,2017,Brazil,Bahia,Coastal Site 10,Bathing,N,Carcharhinus limbatus,M,29
2016-03-16,2016,United States,California,Coastal Site 3,Surfing near shore,Y,Carcharhinus leucas,M,41
2008-08-17,2008,Other,Coastal Region,Coastal Site 18,Fishing,N,Reef shark,F,30
2022-12-26,2022,United States,Florida,Coastal Site 4,Bathing,N,Small shark,Unknown,49
2019-10-30,2019,Australia,Western Australia,Coastal Site 5,Bathing,N,Galeocerdo cuvier,M,22
2010-08-22,2010,South Africa,Eastern Cape,Coastal Site 18,Scuba diving,N,Caribbean reef shark,M,
2013-11-27,2013,Australia,South Australia,Coastal Site 9,Scuba diving,N,2 m bull shark,M,23
2024-12-26,2024,United States,North Carolina,Coastal Site 18,Surfing near shore,N,Small shark,F,18
2013-11-30,2013,United States,California,Coastal Site 9,Snorkeling,N,Blacktip shark,F,22
2018-06-17,2018,South Africa,KwaZulu-Natal,Coastal Site 9,Snorkeling,N,Shark involvement not confirmed,F,
2008-10-27,2008,Other,Coastal Region,Coastal Site 12,Surfing near shore,N,Unknown,F,
2020-09-24,2020,United States,Florida,Coastal Site 4,Swimming,N,Unknown,F,
2012-10-05,2012,New Zealand,North Island,Coastal Site 2,Free diving,N,Reef shark,M,32
1998-01-05,1998,South Africa,Western Cape,Coastal Site 11,Fell overboard,N,Blue shark,M,50
2000-11-13,2000,Mexico,Quintana Roo,Coastal Site 7,Standing in shallow water,N,Caribbean reef shark,M,36
2006-01-09,2006,Bahamas,Grand Bahama,Coastal Site 17,Standing in shallow water,N,Carcharhinus leucas,M,
2005-04-09,2005,Brazil,Rio de Janeiro,Coastal Site 9,Bodyboarding,N,Tiger shark,M,43
2020-04-08,2020,Australia,Western Australia,Coastal Site 5,Fishing,N,4 m white shark,M,35
2025-02-09,2025,Bahamas,Grand Bahama,Coastal Site 6,Swimming,N,Blacktip shark,M,15
2017-06-19,2017,United States,California,Coastal Site 1,Snorkeling,N,2 m bull shark,M,10
2015-06-23,2015,United States,Hawaii,Coastal Site 12,Unknown,N,Mako shark,F,
2024-04-21,2024,United States,California,Coastal Site 17,Bodyboarding,N,4 m white shark,M,45
2018-10-31,2018,Mexico,Jalisco,Coastal Site 12,Fishing,N,Carcharhinus limbatus,M,
2008-05-01,2008,South Africa,Eastern Cape,Coastal Site 17,Bodyboarding,Y,Blue shark,M,26
1999-09-14,1999,New Zealand,South Island,Coastal Site 5,Bathing,N,Carcharhinus leucas,M,31
2010-11-04,2010,Australia,Western Australia,Coastal Site 7,Bodyboarding,N,Shortfin mako,M,8
2021-02-01,2021,Australia,Western Australia,Coastal Site 7,Free diving,N,Blacktip shark,M,18
1994-07-13,1994,Australia,New South Wales,Coastal Site 5,Scuba diving,N,Caribbean reef shark,M,49
2007-09-30,2007,United States,North Carolina,Coastal Site 13,Wading,N,Blue shark,F,27
2004-05-01,2004,United States,California,Coastal Site 12,Wading,Unknown,Great white shark,M,31
2006-01-30,2006,New Zealand,South Island,Coastal Site 12,Shore fishing,N,Bull shark,M,33
2018-05-08,2018,Egypt,South Sinai,Coastal Site 12,Swimming,N,,M,11
2004-03-23,2004,South Africa,KwaZulu-Natal,Coastal Site 15,Kayaking,N,Lemon shark,M,24
2014-01-18,2014,United States,California,Coastal Site 6,Surfing near shore,N,Shortfin mako,M,41
2014-03-10,2014,United States,North Carolina,Coastal Site 5,Fishing,N,Blacktip shark,M,43
1999-04-29,1999,Australia,Western Australia,Coastal Site 16,Canoeing,N,Whitetip reef shark,M,24
1994-11-28,1994,South Africa,Western Cape,Coastal Site 1,Net fishing,N,Unknown,M,
2022-12-14,2022,United States,South Carolina,Coastal Site 11,Shore fishing,N,Reef shark,M,20
2004-05-01,2004,United States,North Carolina,Coastal Site 16,Playing in water,N,Galeocerdo cuvier,F,21
2010-11-10,2010,Réunion,Saint-Leu,Coastal Site 16,Bathing,N,Carcharhinus limbatus,Unknown,42
2011-10-27,2011,United States,California,Coastal Site 6,Surfing,N,Blacktip shark,F,30
2001-07-31,2001,United States,Hawaii,Coastal Site 6,Bathing,N,Blue shark,Unknown,5
2022-07-04,2022,United States,Hawaii,Coastal Site 4,Wading,Y,Great hammerhead,M,26
2019-07-22,2019,Other,Coastal Region,Coastal Site 14,Bathing,N,Whitetip reef shark,M,
2014-01-20,2014,New Zealand,South Island,Coastal Site 3,Swimming,Y,Blacktip shark,M,13
2017-07-19,2017,United States,Hawaii,Coastal Site 13,Bodyboarding,N,Carcharhinus leucas,M,
2012-01-24,2012,Other,Coastal Region,Coastal Site 2,Standing in shallow water,N,,M,53
2023-01-19,2023,Australia,Western Australia,Coastal Site 6,Wading,Y,Nurse shark,Unknown,38
2010-12-08,2010,United States,Hawaii,Coastal Site 10,Snorkeling,N,Shark involvement not confirmed,M,11
1994-07-03,1994,South Africa,KwaZulu-Natal,Coastal Site 9,Swimming,N,Galeocerdo cuvier,M,34
1992-11-18,1992,United States,Florida,Coastal Site 9,Canoeing,N,Caribbean reef shark,M,18
2000-09-09,2000,Other,Coastal Region,Coastal Site 15,Scuba diving,Unknown,Mako shark,M,41
1993-09-05,1993,United States,Florida,Coastal Site 5,Surfing near shore,N,2 m bull shark,F,
2019-07-10,2019,South Africa,Western Cape,Coastal Site 10,Swimming,Y,Unidentified reef shark,M,7
2014-05-10,2014,United States,California,Coastal Site 12,Surfing,N,Blue shark,M,
2000-07-21,2000,United States,California,Coastal Site 11,Bathing,Y,4 m white shark,F,54
2019-06-21,2019,United States,North Carolina,Coastal Site 3,Net fishing,N,Galeocerdo cuvier,M,42
2018-02-19,2018,United States,Florida,Coastal Site 5,Wading,N,Small shark,M,18
2025-09-12,2025,South Africa,KwaZulu-Natal,Coastal Site 3,Swimming,N,Great white shark,F,
2011-04-07,2011,Bahamas,Grand Bahama,Coastal Site 18,Fell overboard,N,3 m tiger shark,M,27
2011-01-16,2011,United States,South Carolina,Coastal Site 17,Surfing,Y,Whitetip reef shark,M,
1994-12-29,1994,Australia,Western Australia,Coastal Site 1,Shore fishing,Y,Galeocerdo cuvier,M,47
2016-02-14,2016,Mexico,Baja California,Coastal Site 2,Surfing,Y,Shortfin mako,F,39
2025-05-23,2025,United States,California,Coastal Site 18,Snorkeling,N,Shark involvement not confirmed,M,44
2007-10-01,2007,Australia,New South Wales,Coastal Site 7,Swimming,N,2 m bull shark,Unknown,47
2019-02-16,2019,Brazil,Pernambuco,Coastal Site 4,Small boat,N,Oceanic whitetip shark,M,19
2001-03-31,2001,Australia,Queensland,Coastal Site 2,Bathing,N,Blue shark,F,42
2025-05-17,2025,United States,California,Coastal Site 17,Kayaking,Y,4 m white shark,F,30
1995-10-07,1995,United States,Florida,Coastal Site 5,Fishing,N,Carcharodon carcharias,M,26
2000-04-25,2000,Australia,Western Australia,Coastal Site 5,Wading,N,Great hammerhead,M,26
2022-10-02,2022,Brazil,Rio de Janeiro,Coastal Site 11,Bodyboarding,N,Tiger shark,M,27
2002-09-13,2002,South Africa,KwaZulu-Natal,Coastal Site 18,Kayaking,N,Hammerhead shark,F,47
2014-01-14,2014,South Africa,KwaZulu-Natal,Coastal Site 4,Canoeing,N,Galeocerdo cuvier,M,22
2006-01-29,2006,United States,North Carolina,Coastal Site 16,Wading,N,Unidentified reef shark,Unknown,14
2024-05-16,2024,Australia,Western Australia,Coastal Site 3,Surfing near shore,N,Galeocerdo cuvier,M,
1996-03-19,1996,Other,Coastal Region,Coastal Site 15,Canoeing,N,Lemon shark,M,
2017-05-04,2017,Réunion,Saint-Leu,Coastal Site 12,Swimming,Y,Blacktip shark,M,5
2005-12-15,2005,Bahamas,Grand Bahama,Coastal Site 6,Standing in shallow water,N,Tiger shark,M,32
2013-12-20,2013,Australia,Queensland,Coastal Site 12,Snorkeling,Unknown,Blacktip shark,M,18
2007-11-14,2007,Australia,Western Australia,Coastal Site 16,Surfing,N,4 m white shark,M,48
2012-02-20,2012,Brazil,Bahia,Coastal Site 5,Bathing,N,Carcharhinus leucas,F,40
2007-03-21,2007,Australia,Queensland,Coastal Site 8,Kayaking,Y,Mako shark,M,
2021-05-08,2021,United States,Florida,Coastal Site 7,Surfing near shore,N,Caribbean reef shark,M,38
2022-03-25,2022,Brazil,Rio de Janeiro,Coastal Site 3,Surfing,N,Blacktip shark,M,36
2009-02-12,2009,Australia,Queensland,Coastal Site 14,Snorkeling,N,Great white shark,F,49
2019-02-13,2019,Australia,Western Australia,Coastal Site 8,Bathing,N,Carcharodon carcharias,F,
2007-05-27,2007,United States,South Carolina,Coastal Site 5,Standing in shallow water,N,Great white shark,M,
2002-11-19,2002,United States,Florida,Coastal Site 8,Unknown,N,Carcharhinus limbatus,M,14
2023-03-19,2023,United States,North Carolina,Coastal Site 13,Spearfishing,N,4 m white shark,M,35
2015-12-13,2015,Bahamas,Exuma,Coastal Site 9,Spearfishing,Y,Great white shark,M,17
2010-12-31,2010,United States,California,Coastal Site 12,Fell overboard,N,Carcharhinus limbatus,M,
2009-08-27,2009,Bahamas,Exuma,Coastal Site 13,Surfing near shore,N,Hammerhead shark,M,36
1997-12-06,1997,Mexico,Quintana Roo,Coastal Site 18,Swimming,N,3 m tiger shark,M,
2015-07-31,2015,Australia,Queensland,Coastal Site 4,Scuba diving,N,Nurse shark,M,28
1990-08-01,1990,United States,Florida,Coastal Site 9,Snorkeling,N,Oceanic whitetip shark,F,
2016-05-12,2016,South Africa,Eastern Cape,Coastal Site 16,Snorkeling,Unknown,Unidentified reef shark,M,
2000-02-14,2000,United States,Hawaii,Coastal Site 3,Canoeing,N,Carcharhinus limbatus,M,22
2006-08-14,2006,United States,North Carolina,Coastal Site 12,Net fishing,Unknown,Bull shark,M,7
1996-06-23,1996,South Africa,Eastern Cape,Coastal Site 17,Playing in water,N,Tiger shark,M,9
2005-02-08,2005,United States,North Carolina,Coastal Site 4,Bathing,N,Caribbean reef shark,F,
1998-12-29,1998,Mexico,Baja California,Coastal Site 8,Bathing,N,Tiger shark,M,35
1994-10-23,1994,South Africa,KwaZulu-Natal,Coastal Site 18,Standing in shallow water,N,Great white shark,M,29
1996-07-25,1996,United States,North Carolina,Coastal Site 8,Standing in shallow water,N,Galeocerdo cuvier,M,35
2014-09-18,2014,United States,South Carolina,Coastal Site 12,Standing in shallow water,N,Carcharodon carcharias,M,26
1994-12-14,1994,United States,Hawaii,Coastal Site 11,Small boat,N,,M,
2006-07-18,2006,United States,Hawaii,Coastal Site 13,Surfing,Y,Blacktip shark,M,20
2020-09-09,2020,Australia,Western Australia,Coastal Site 14,Free diving,N,,M,32
2020-04-16,2020,New Zealand,North Island,Coastal Site 9,Spearfishing,Y,Shark species not confirmed,M,35
1992-07-08,1992,South Africa,Western Cape,Coastal Site 17,Bodyboarding,N,Carcharhinus leucas,M,41
2019-01-12,2019,Australia,Queensland,Coastal Site 1,Snorkeling,N,Tiger shark,M,21
2014-03-26,2014,United States,North Carolina,Coastal Site 18,Net fishing,Y,Blacktip shark,M,29
2005-10-30,2005,Other,Coastal Region,Coastal Site 13,Standing in shallow water,N,Tiger shark,M,
2021-03-24,2021,South Africa,KwaZulu-Natal,Coastal Site 9,Bathing,N,Tiger shark,M,
2024-04-03,2024,United States,Florida,Coastal Site 18,Spearfishing,N,Carcharhinus limbatus,M,
2017-04-14,2017,New Zealand,North Island,Coastal Site 2,Shore fishing,Y,4 m white shark,F,5
2001-07-30,2001,Australia,New South Wales,Coastal Site 7,Kayaking,N,Shark species not confirmed,M,9
2002-05-18,2002,Australia,South Australia,Coastal Site 4,Surfing near shore,N,Oceanic whitetip shark,Unknown,
2024-01-08,2024,Australia,New South Wales,Coastal Site 14,Surfing,N,Lemon shark,M,
2003-05-31,2003,Other,Coastal Region,Coastal Site 9,Bathing,Unknown,Blacktip shark,M,36
2008-10-19,2008,Other,Coastal Region,Coastal Site 2,Snorkeling,N,Unknown,M,33
2021-05-10,2021,United States,South Carolina,Coastal Site 10,Surfing,N,Blacktip shark,M,
2014-10-18,2014,South Africa,Western Cape,Coastal Site 2,Net fishing,N,Carcharodon carcharias,F,5
2022-07-15,2022,United States,Hawaii,Coastal Site 16,Swimming,N,2 m bull shark,M,34
2013-12-15,2013,Mexico,Quintana Roo,Coastal Site 6,Spearfishing,N,Unidentified reef shark,M,26
1999-10-17,1999,Australia,Western Australia,Coastal Site 17,Swimming,N,Tiger shark,M,25
2002-09-08,2002,Australia,Queensland,Coastal Site 15,Net fishing,N,Reef shark,F,22
2001-02-02,2001,Brazil,Rio de Janeiro,Coastal Site 13,Bodyboarding,N,Nurse shark,M,5
1998-03-11,1998,United States,North Carolina,Coastal Site 9,Standing in shallow water,Y,Unknown,M,25
1995-12-23,1995,United States,California,Coastal Site 18,Small boat,Y,Carcharodon carcharias,M,22
2003-03-26,2003,Bahamas,Grand Bahama,Coastal Site 4,Fell overboard,N,Tiger shark,M,39
1991-03-12,1991,Bahamas,Exuma,Coastal Site 17,Fishing,N,Blue shark,F,
2015-06-20,2015,Bahamas,Grand Bahama,Coastal Site 8,Unknown water activity,N,Great hammerhead,M,21
2011-07-21,2011,New Zealand,South Island,Coastal Site 15,Scuba diving,N,3 m tiger shark,M,32
2011-03-14,2011,United States,North Carolina,Coastal Site 9,Bathing,N,Shark involvement not confirmed,F,19
2024-03-12,2024,Other,Coastal Region,Coastal Site 16,Canoeing,N,Carcharhinus limbatus,F,37
2007-12-02,2007,United States,California,Coastal Site 8,Surfing near shore,Unknown,Galeocerdo cuvier,F,23
1999-02-27,1999,United States,Florida,Coastal Site 10,Bathing,N,4 m white shark,M,28
2011-12-14,2011,Australia,Queensland,Coastal Site 10,Swimming,N,Galeocerdo cuvier,M,54
2018-05-01,2018,Australia,South Australia,Coastal Site 15,Fishing,N,Whitetip reef shark,M,47
2024-04-22,2024,United States,South Carolina,Coastal Site 16,Scuba diving,N,Blacktip shark,M,54
2004-07-20,2004,Australia,Queensland,Coastal Site 8,Wading,N,Reef shark,F,
2023-04-23,2023,Egypt,Red Sea,Coastal Site 10,Shore fishing,Y,Unidentified reef shark,F,36
1995-02-23,1995,South Africa,Western Cape,Coastal Site 9,Surfing near shore,N,Bull shark,M,31
2006-05-26,2006,Brazil,Bahia,Coastal Site 9,Surfing near shore,N,4 m white shark,M,
2024-02-13,2024,United States,California,Coastal Site 15,Fishing,N,Oceanic whitetip shark,M,25
1998-02-01,1998,United States,North Carolina,Coastal Site 16,Surfing,Y,4 m white shark,F,54
2005-12-16,2005,New Zealand,North Island,Coastal Site 2,Canoeing,N,Small shark,M,28
2023-12-01,2023,Other,Coastal Region,Coastal Site 6,Standing in shallow water,N,Lemon shark,M,34
1992-07-09,1992,United States,South Carolina,Coastal Site 17,Snorkeling,Y,2 m bull shark,M,51
2008-05-25,2008,Australia,Western Australia,Coastal Site 14,Net fishing,N,Oceanic whitetip shark,M,21
2016-04-06,2016,United States,Florida,Coastal Site 10,Surfing,N,2 m bull shark,Unknown,16
1995-12-29,1995,United States,Florida,Coastal Site 16,Kayaking,N,Carcharodon carcharias,M,44
1991-12-28,1991,Australia,South Australia,Coastal Site 4,Canoeing,N,Carcharhinus limbatus,M,8
2010-06-17,2010,South Africa,KwaZulu-Natal,Coastal Site 5,Surfing,N,Caribbean reef shark,F,15
2007-04-15,2007,Australia,Queensland,Coastal Site 5,Bodyboarding,Unknown,Shortfin mako,M,35
2005-03-28,2005,New Zealand,South Island,Coastal Site 11,Bodyboarding,N,Unidentified reef shark,M,42
2010-06-05,2010,United States,Florida,Coastal Site 5,Snorkeling,N,Carcharodon carcharias,M,29
2023-07-25,2023,Bahamas,Grand Bahama,Coastal Site 3,Surfing near shore,N,Hammerhead shark,M,30
2001-05-16,2001,Bahamas,Grand Bahama,Coastal Site 18,Wading,N,Nurse shark,M,40
2010-06-11,2010,United States,North Carolina,Coastal Site 13,Surfing,N,Great white shark,M,
2025-06-11,2025,Australia,Western Australia,Coastal Site 13,Swimming,Y,Mako shark,Unknown,13
2012-09-14,2012,United States,Hawaii,Coastal Site 17,Bodyboarding,N,Shortfin mako,M,
2004-02-02,2004,United States,Hawaii,Coastal Site 5,Bodyboarding,N,Carcharodon carcharias,M,20
2014-04-11,2014,United States,Florida,Coastal Site 18,Snorkeling,N,Whitetip reef shark,M,36
2015-08-05,2015,Australia,New South Wales,Coastal Site 6,Fell overboard,N,Unknown,F,24
2004-10-10,2004,Other,Coastal Region,Coastal Site 2,Standing in shallow water,N,Unidentified reef shark,M,
2003-01-11,2003,Australia,New South Wales,Coastal Site 17,Snorkeling,N,4 m white shark,M,
2022-02-25,2022,United States,North Carolina,Coastal Site 13,Shore fishing,N,Great hammerhead,M,16
2025-04-07,2025,Brazil,Pernambuco,Coastal Site 6,Scuba diving,Y,Bull shark,M,24
2001-10-02,2001,Other,Coastal Region,Coastal Site 11,Free diving,N,Bull shark,M,21
2015-06-10,2015,Brazil,Bahia,Coastal Site 9,Surfing,N,Tiger shark,M,
2012-08-30,2012,United States,California,Coastal Site 1,Bathing,N,Tiger shark,M,43
2024-09-17,2024,United States,Florida,Coastal Site 4,Wading,Unknown,Blue shark,Unknown,32
